Year,Player,Pos,School,Height (month lmao),Wt (lbs),40YD (s),Vertical (in),BenchReps,Broad Jump (in),3Cone (s),Shuttle (s)
2017,Jahad Thomas,RB,Temple,10-May,190,4.62,32,11,116,,
2017,Trent Taylor,WR,Louisiana Tech,8-May,181,4.63,33,13,117,6.74,4.01
2017,Taywan Taylor,WR,Western Kentucky,11-May,203,4.5,33.5,13,132,6.57,4.21
2017,Ryan Switzer,WR,North Carolina,8-May,181,4.51,32,11,116,6.77,4
2017,ArDarius Stewart,WR,Alabama,11-May,204,4.49,34,,124,,
2017,Freddie Stevenson,FB,Florida State,Jun-00,234,4.75,28,24,111,7.65,4.45
2017,Jamari Staples,WR,Louisville,3-Jun,195,4.51,36,,130,,
2017,Jeremy Sprinkle,TE,Arkansas,5-Jun,252,4.69,29,,116,,
2017,JuJu Smith-Schuster,WR,Southern California,1-Jun,215,4.54,32.5,15,120,,
2017,Jonnu Smith,TE,Florida International,3-Jun,248,4.62,38,22,127,,4.18
2017,De'Veon Smith,RB,Michigan,11-May,223,,29,22,108,7.3,4.56
2017,Adam Shaheen,TE,Ashland,6-Jun,278,4.79,32.5,24,121,7.09,4.38
2017,Ricky Seals-Jones,WR,Texas A&M,5-Jun,243,4.69,28,17,121,7.46,4.33
2017,Artavis Scott,WR,Clemson,10-May,193,4.61,31,13,116,7.19,4.49
2017,Eric Saubert,TE,Drake,5-Jun,253,,33,22,121,,
2017,Curtis Samuel,WR,Ohio State,11-May,196,4.31,37,18,119,7.09,4.33
2017,Seth Russell,QB,Baylor,3-Jun,213,,,,,,
2017,Cooper Rush,QB,Central Michigan,3-Jun,228,4.93,27,,105,7.23,4.47
2017,Travis Rudolph,WR,Florida State,Jun-00,189,4.65,31.5,12,114,6.93,4.46
2017,John Ross,WR,Washington,11-May,188,4.22,37,,133,,
2017,Fred Ross,WR,Mississippi State,1-Jun,213,4.51,35,10,113,6.99,4.28
2017,Sam Rogers,FB,Virginia Tech,10-May,231,4.93,32,19,114,7.27,4.34
2017,Darreus Rogers,WR,Southern California,1-Jun,216,,26.5,8,112,7.22,4.54
2017,Jalen Robinette,WR,Air Force,3-Jun,220,4.62,31.5,13,120,6.77,4.46
